noticeIdentifier,noticeVersion,contractIdentifier,changeNoticeVersionIdentifier,changeReasonCode,changeReasonDescription
2a55e205-4e71-40a0-ac8c-75e8bb465205,01,,c347aa5e-b671-42f9-8772-f96bfb059582-01,cor-buy,Austausch des Leistungsverzeichnis in pdf und gaeb Datei. Pos. 10.01.003 entfällt und wird nicht ersetzt. Leistungsverzeichnis wurde in den Vergabeunterlagen ausgetauscht.
97342522-2e60-41ee-b63e-7fd68f818a0c,01,,5fe808ea-82be-476d-84a0-cc8547d2520e-01,info-release,Bodengutachten hochgeladen.
48badf3d-488b-4187-a932-53f825f535a7,01,,d210b0ec-022c-44e0-b935-2fa7f6a6f3aa-01,update-add,Termine geändert
655042ea-1acb-49b4-af80-c050e20f7f66,01,,c2169543-0e23-45fe-8b8d-7e53d3a16126-01,update-add,terminliche Gründe
c0fea23b-3299-4f7d-81f9-bd0dbeff808f,01,,8ee3926b-7f44-4d50-997d-abcf3a79e63d-01,cor-buy,"'- Ergänzung von 3 Dateien - Baugenehmigung (Nachtrag); Prüfbericht Brandschutz und Umplanung Schule UBA II bestätigt
-Verschiebung Submissionstermin auf den 24.09.2026 10:00 Uhr"
ef80485e-9b72-4f69-8fac-b1ca556c920b,01,,36a4c6af-3939-4fae-aac4-c2391a93e3ea-01,cor-buy,Überarbeitung des LV auf Grund von Bieterfragen.
ed9237f6-d2c2-4613-be5a-13617329b435,02,,2484f88e-1e23-4c1f-b662-c84150e1a069-01,update-add,terminliche Gründe
9c08a1ab-83d4-49e8-a1d2-0cba0d37ceaa,01,,8531bddb-0e1a-4799-9160-ab8fa4184172-01,update-add,terminliche Gründe
25818322,2,,1,update-add,geänderte Daten service.bund.de
25821438,2,,1,update-add,geänderte Daten service.bund.de
25817140,2,,1,update-add,geänderte Daten service.bund.de
25750966,2,,1,update-add,geänderte Daten service.bund.de
25744564,2,,1,update-add,geänderte Daten service.bund.de
25723776,3,,2,update-add,geänderte Daten service.bund.de
25776550,2,,1,update-add,geänderte Daten service.bund.de
25659566,4,,3,update-add,geänderte Daten service.bund.de
25807478,2,,1,update-add,geänderte Daten service.bund.de
25758778,3,,2,update-add,geänderte Daten service.bund.de
25771066,2,,1,update-add,geänderte Daten service.bund.de
b0f6fa43-92ac-4e7c-a8c9-55e3487121b0,2,,1,update-add,Bekanntmachung über Änderungen oder zusätzliche Angaben
86a622d6-b5c8-42ae-8e4e-834ac610f252,2,,1,update-add,Bekanntmachung über Änderungen oder zusätzliche Angaben
a9a248f5-fa5a-471c-8cb2-30ea888267a3,2,,1,update-add,Bekanntmachung über Änderungen oder zusätzliche Angaben
