noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
adbbb2a3-a548-485c-b584-b649f0cff1b3,01,,Bremen,28779,DE501,DEU
358aa36b-0b4d-406d-b3f0-3823146a9ea6,01,,München,81929,DE212,DEU
005970e4-fa83-4d72-b88d-6b8acfe47c4a,01,,Bremen,28779,DE501,DEU
125814cb-3fd3-45fb-8ee4-1940fc409986,01,,Pfarrkirchen,84347,DE22A,DEU
5136b73e-1a8c-4623-ba6e-68446d10b433,01,,Salmtal,54528,DEB22,DEU
615b5280-a5cf-40f2-b7b9-3da4726c7de4,01,,Salmtal,54528,DEB22,DEU
01a0a39a-b1ce-41e2-a40e-d2a19840eef3,01,,Zwickau,08058,DED45,DEU
37ef6440-39ad-4711-b6d8-50cd3e259338,01,,Wildau,15745,DE406,DEU
b66086b4-5a0c-43e5-beff-d9e5bd9b4747,01,,,,DEA1B,DEU
bdb7cd0f-27a9-49e6-be6e-c80723885512,01,,Köln,50667,DEA23,DEU
7d14c033-c833-4b40-8efc-e2ed271a3c3d,01,,Salmtal,54528,DEB22,DEU
9d83ea1f-2e6a-4af3-9974-0b8a7823c726,01,,Salmtal,54528,DEB22,DEU
741f8574-9ba3-434b-bf87-42f565cdff51,01,,Plön,24306,DEF0A,DEU
85c9a7bb-cf66-405a-93c9-50857968cd15,01,,Lauda-Königshofen,97922,DE11B,DEU
77b9119d-d72d-4bca-adc2-6341ef20117a,01,,Heidelberg,69124,DE125,DEU
abadc72a-717a-45fc-9044-e7eb3dad334a,01,,Dortmund,44139,DEA52,DEU
3b62235d-ca80-4e03-9c3e-297de871fe80,01,,Potsdam,14478,DE404,DEU
3084e989-acb5-4689-8ebb-6bf0ad8e0903,01,,Oberhaching,82041,DE21H,DEU
07e2fa36-a8c8-4b6b-94d1-b5ec715848fc,01,,Göttingen,37073,DE91C,DEU
10b4365a-23af-4cbd-874f-5faa960c37e5,01,,Gundelfingen,79194,DE132,DEU
10b4365a-23af-4cbd-874f-5faa960c37e5,01,,Gundelfingen,79194,DE132,DEU
2d885c65-7f8d-466b-ae79-a214d09abef4,01,,Ellwangen-Rindelbach,73479,DE11D,DEU
