noticeIdentifier,noticeVersion,lotIdentifier,scope,documentReferenceId,documentType,description,rawUrl,url
c5ef3499-a4b9-47ec-bc70-26f11a16f0c3,01,LOT-0000,lot,209781,non-restricted-document,,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/2/tenderId/209781,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/2/tenderId/209781
7b083735-d2fe-4149-b920-ca6a524868e3,1,LOT-0000,lot,No ID,non-restricted-document,,https://www.evergabe-online.de/tenderdetails.html?id=890394,https://www.evergabe-online.de/tenderdetails.html?id=890394
62017582-b322-43ba-b234-99c6d10e7cde,1,LOT-0000,lot,No ID,non-restricted-document,,https://www.evergabe-online.de/tenderdetails.html?id=890308,https://www.evergabe-online.de/tenderdetails.html?id=890308
8168d760-e364-4120-9df0-b30c308f22c7,1,LOT-0000,lot,No ID,non-restricted-document,,https://www.evergabe-online.de/tenderdetails.html?id=890314,https://www.evergabe-online.de/tenderdetails.html?id=890314
ca6a9d29-4645-4b9f-9cbf-ec837f1587f9,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://vergabe.hessen.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-1a01a48046c-4786c276912678ee,https://vergabe.hessen.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-1a01a48046c-4786c276912678ee
041a3b4a-d1d4-4009-9dcc-6ff36b793ef3,01,LOT-0001,lot,E79145776,non-restricted-document,,https://www.subreport.de/E79145776,https://www.subreport.de/E79145776
6bf5b4f6-4a92-47f9-bc92-0d3e550a2fe2,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://vergabe.bremen.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-1a08b750479-1991c936bf5766ad,https://vergabe.bremen.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-1a08b750479-1991c936bf5766ad
307bbb8e-7821-42e3-bebc-c5ce607d6d58,01,LOT-0001,lot,E31832426,non-restricted-document,,https://www.subreport.de/E31832426,https://www.subreport.de/E31832426
5bf0da81-04b4-4540-a2a1-fa832e81b42d,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://vergabe.bremen.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-1a08b4264b6-4403db0827312a81,https://vergabe.bremen.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-1a08b4264b6-4403db0827312a81
fcd29cc5-5683-4216-98b9-bce47074c29b,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://vergabe.fraunhofer.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-1a09ff0201a-5ae0a30c85f4514e,https://vergabe.fraunhofer.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-1a09ff0201a-5ae0a30c85f4514e
